MUNICÍPIO;2009;2011;2013;2015;2017;2019;PROJ 2009;PROJ 2011;PROJ 2013;PROJ 2015;PROJ 2017;PROJ 2019
Paraná;NaN;NaN;NaN;NaN;4.1;5.1;2.9;3.2;3.5;3.8;4.1;4.4
Paraú;2.6;NaN;2.8;3.5;3.7;2.9;2.7;3.1;3.4;3.7;4;4.3
Parazinho;2.6;4.1;3.3;4;3.8;4.8;3;3.4;3.7;4;4.3;4.6
Parelhas;4.6;5;4.9;5.2;5.4;5.6;3.6;4;4.3;4.6;4.9;5.2
Rio do Fogo;2.8;2.7;2.6;3.6;3.5;3.9;2.5;2.9;3.2;3.5;3.8;4.1
Passa e Fica;3.3;3.4;3.6;3.9;4.3;4.9;3.2;3.6;3.9;4.2;4.5;4.8
Passagem;3.8;3.5;4.1;3.9;4;4.3;2.9;3.3;3.6;3.9;4.2;4.5
Patu;2.8;3.2;3.6;4.1;4.3;4.8;3;3.4;3.7;4;4.3;4.6
Santa Maria;2.9;2.9;3.9;3.9;4.6;NaN;2.9;3.4;3.7;4;4.3;4.6
Pau dos Ferros;3.7;4;4.5;5.2;5;5.2;3.6;4;4.3;4.6;4.9;5.2
Pedra Grande;3.1;3.8;3.6;4;4.7;4.1;2.3;2.7;3;3.3;3.6;3.9
Pedra Preta;2.8;3;3.1;NaN;3.6;3.4;2.8;3.1;3.3;3.6;3.9;4.2
Pedro Avelino;2.6;3.5;3.8;4.1;3.9;4;2.8;3.2;3.5;3.8;4.1;4.4
Pedro Velho;3.4;3;3.3;3.9;4.1;4;2.7;3.1;3.4;3.7;4;4.3
Pendências;3.1;3.4;3.7;4.3;4.1;4.4;2.6;3;3.3;3.6;3.9;4.2
Pilões;2.7;3.4;3.9;3.6;4.6;4.8;3.6;4;4.3;4.6;4.9;5.2
Poço Branco;2.9;3.3;3.2;3.6;3.8;3.6;2.6;3;3.3;3.6;3.9;4.2
Portalegre;3.1;3.9;4.2;4.1;4.7;5;3.2;3.6;3.9;4.2;4.5;4.8
Porto do Mangue;3.2;3.7;3.4;3.8;3.4;3.5;3.2;3.6;3.9;4.2;4.5;4.8
Serra Caiada;3.5;4.2;3.4;4.2;4.1;4.2;3.2;3.6;3.9;4.1;4.4;4.8
Pureza;3.1;3;3.6;3.4;3.7;4;2.9;3.3;3.6;3.8;4.1;4.5
Rafael Fernandes;4;4.5;4.3;4;4;5.2;3;3.4;3.7;4;4.3;4.6
Rafael Godeiro;4.1;4.7;4.6;5.1;5.1;5.2;3.1;3.5;3.8;4;4.3;4.6
Riacho da Cruz;2.5;3.8;4.1;4.9;5.4;5.3;3;3.4;3.7;4;4.3;4.6
Riacho de Santana;4.1;3.4;4.3;4.7;4.6;4.6;3.6;4;4.3;4.6;4.9;5.2
Riachuelo;3.3;3.2;3.3;4;3.7;4.1;3;3.4;3.6;3.9;4.2;4.5
Rodolfo Fernandes;3.1;3.4;3.7;4.2;4.7;4.4;3;3.4;3.7;4;4.3;4.6
Tibau;3.2;3.3;3.5;NaN;4.7;5.1;3;3.4;3.6;3.9;4.2;4.5
Ruy Barbosa;2.8;4.2;3.7;4.8;5.4;6.1;2.9;3.3;3.6;3.9;4.2;4.5
Santa Cruz;3.4;3.7;3.7;4.1;4.2;4.3;3;3.4;3.7;4;4.3;4.6
Santana do Matos;3.2;3.5;3.5;4.4;4.5;4.9;2.9;3.3;3.6;3.9;4.2;4.5
Santana do Seridó;4.5;4;5.9;6.1;6;6;3.6;4;4.3;4.6;4.8;5.1
Santo Antônio;3.4;3.8;3.5;4.2;4.2;4.8;3;3.4;3.7;3.9;4.3;4.6
São Bento do Norte;2.9;3.4;3.8;3.6;3.8;3.7;2.7;3.1;3.3;3.6;3.9;4.2
São Bento do Trairí;3.7;3.6;3.5;4.3;4.8;4.5;3.1;3.5;3.8;4;4.3;4.7
São Fernando;3.5;3.6;4;5.5;5.3;5.9;3.2;3.6;3.9;4.2;4.5;4.8
São Francisco do Oeste;3.3;4.3;4;4.3;4.6;5.1;2.6;3;3.3;3.6;3.9;4.2
São Gonçalo do Amarante;3.2;3.3;3.5;4;4;4.5;3.1;3.5;3.7;4;4.3;4.6
São João do Sabugi;4.9;5.1;5.3;5.6;5.6;5.7;3;3.4;3.7;4;4.3;4.6
São José de Mipibu;3;3.4;3.3;3.9;4;4.5;2.8;3.2;3.5;3.7;4;4.4
São José do Campestre;3;2.8;3.2;3.6;3.8;4.4;2.9;3.3;3.6;3.9;4.2;4.5
São José do Seridó;4.6;4.9;4.9;5.7;5.6;5.8;3.3;3.7;3.9;4.2;4.5;4.8
São Miguel;3.8;4;4.7;5;5.2;5.1;3.1;3.5;3.8;4.1;4.4;4.7
São Miguel do Gostoso;3.4;3.9;4.4;4.8;4.5;4.8;3;3.4;3.7;4;4.3;4.6
São Paulo do Potengi;3.2;3.8;3.7;4;4.2;4.6;3.2;3.6;3.9;4.2;4.5;4.8
São Pedro;3.1;3.1;3.4;4.4;4.7;NaN;2.7;3.2;3.5;3.8;4.1;4.4
São Rafael;3.4;3.9;4.1;4.2;3.8;4.6;2.8;3.2;3.4;3.7;4;4.3
São Tomé;3;4.5;3.7;3.8;4.1;4.5;2.9;3.3;3.6;3.9;4.2;4.5
São Vicente;4.4;4.2;4.2;4.6;5.2;5;3.8;4.2;4.5;4.8;5.1;5.3
Senador Elói de Souza;2.8;3.2;3.5;3.4;3.8;3.9;3.2;3.6;3.8;4.1;4.4;4.7
Senador Georgino Avelino;2.9;3.1;3.6;4.1;3.8;3.3;2.6;3.1;3.4;3.6;3.9;4.3
Serra de São Bento;3;3.3;3.5;3.6;4.6;4.3;3.3;3.7;4;4.3;4.5;4.8
Serra do Mel;3.8;3.6;4;4.2;4.5;4.5;3.2;3.6;3.9;4.2;4.5;4.8
Serra Negra do Norte;3.7;3.7;4.6;4.8;5;4.3;2.8;3.2;3.5;3.8;4.1;4.4
Serrinha;3.8;4.2;4.6;5;5;5.6;2.7;3.1;3.4;3.7;4;4.3
Serrinha dos Pintos;3.5;4.1;4.5;4.5;5;4.3;2.8;3.2;3.4;3.7;4;4.4
Severiano Melo;3.1;3.3;4.2;4.1;4.9;5.2;3;3.4;3.7;4;4.3;4.6
Sítio Novo;2.5;4.3;3.9;4.5;4.2;4.9;3.3;3.7;3.9;4.2;4.5;4.8
Taboleiro Grande;3.1;3.6;4;4;5.1;NaN;4.6;4.9;5.2;5.4;5.7;6
Taipu;2.8;3.6;3.4;4.2;3.5;4.3;2.6;3;3.2;3.5;3.8;4.1
Tangará;3.3;3.5;3.8;4.5;4.2;4.1;3.5;3.9;4.2;4.5;4.8;5.1
Tenente Ananias;3.5;3.7;4;4.2;4.5;5;3.2;3.6;3.9;4.2;4.5;4.8
Tenente Laurentino Cruz;3.8;3.7;4.2;4.4;4.7;4.6;3.2;3.6;3.9;4.2;4.5;4.8
Tibau do Sul;3.3;3.3;3.4;4.4;4.2;4.7;2.7;3;3.3;3.6;3.9;4.2
Timbaúba dos Batistas;3.2;3.7;4.1;4.7;4.1;NaN;3.2;3.7;3.9;4.2;4.5;4.8
Touros;2.9;NaN;3.5;3.8;4.2;4.1;2.2;2.6;2.8;3.1;3.4;3.7
Triunfo Potiguar;3.6;3.4;3.1;3.7;3.9;3.5;2.9;3.4;3.6;3.9;4.2;4.5
Umarizal;3.4;3.5;3.7;4.2;3.8;4.9;2.9;3.3;3.6;3.9;4.2;4.5
Upanema;3.8;4.2;4;4.8;4.3;4.7;3.2;3.6;3.9;4.2;4.5;4.8
Várzea;3.2;2.9;2.4;3.6;3.3;3.5;2.5;2.9;3.2;3.5;3.8;4.1
Venha-Ver;3;4.1;4.1;4.3;4.3;4.3;2.7;3.1;3.4;3.7;4;4.3
Vera Cruz;3.4;3.7;3.6;4.1;3.8;4.1;3.2;3.6;3.9;4.2;4.5;4.8
Viçosa;3.1;4.7;3.8;4.5;4.9;6.1;2.4;2.8;3.1;3.4;3.7;4
Vila Flor;2.6;3.1;3.2;3.6;3.8;4;2.5;3;3.3;3.5;3.8;4.2
